full_date,course_name,assignment_name,due_time
"Sunday - November 10, 2024",BCSAI2024CSAI.2.M.A_C2_464907: DESIGNING AND USING DATABASES,Selenium Contest,"11/10/24, 11:59 PM"
"Wednesday - November 13, 2024",BCSAI2024CSAI.2.M.A_C2_464907: DESIGNING AND USING DATABASES,Aggregation Framework Second Exercises,"11/13/24, 11:59 PM"
"Wednesday - November 13, 2024",BCSAI2024CSAI.2.M.A_C2_464907: DESIGNING AND USING DATABASES,Spark Assignment,"11/13/24, 11:59 PM"
"Thursday - November 14, 2024",IE-IMPACT2024IE-IMPACT.2.M.M.GenAI_C1_467017: TECHNOLOGY,Low Code Databases: Airtable,"11/14/24, 5:00 PM"
"Friday - November 15, 2024",BCSAI2024CSAI.2.M.A_C2_464911: CLOUD COMPUTING,Introduction to Azure Logic Apps,"11/15/24, 11:59 PM"
"Monday - November 18, 2024",BCSAI2024CSAI.2.M.A_C2_464911: CLOUD COMPUTING,Getting Starting with Serverless Badge,"11/18/24, 11:59 PM"
"Thursday - November 21, 2024",BCSAI2024CSAI.2.M.A_C2_464904: CALCULUS FOR COMPUTER SCIENCE,Quiz 3,"11/21/24, 9:00 AM"
"Sunday - November 24, 2024",BCSAI2024CSAI.2.M.A_C2_464911: CLOUD COMPUTING,Milestone 2: Status Update - Backend Progress and Azure Storage,"11/24/24, 11:59 PM"
"Thursday - November 28, 2024",BCSAI2024CSAI.2.M.A_C2_464909: ALGORITHMS & DATA STRUCTURES,Boardgame Groupwork,"11/28/24, 11:59 PM"
"Thursday - December 5, 2024",BCSAI2024CSAI.2.M.A_C2_464907: DESIGNING AND USING DATABASES,Final Project,"12/5/24, 11:59 PM"
"Sunday - December 8, 2024",BCSAI2024CSAI.2.M.A_C2_464911: CLOUD COMPUTING,Milestone 3: Final Presentation and Demo,"12/8/24, 11:59 PM"
"Sunday - December 8, 2024",BCSAI2024CSAI.2.M.A_C2_464911: CLOUD COMPUTING,Group Project Checklist,"12/8/24, 11:59 PM"
"Tuesday - December 10, 2024",BCSAI2024CSAI.2.M.A_C2_464906: COMPUTER PROGRAMMING 1,Extra Points,"12/10/24, 4:22 PM"
"Friday - December 13, 2024",BCSAI2024CSAI.2.M.A_C2_464911: CLOUD COMPUTING,Sky Computing,"12/13/24, 12:59 PM"
"Friday - December 13, 2024",BCSAI2024CSAI.2.M.A_C2_464911: CLOUD COMPUTING,The role of containers in Cloud environments,"12/13/24, 11:59 PM"
"Friday - December 13, 2024",BCSAI2024CSAI.2.M.A_C2_464911: CLOUD COMPUTING,The Environmental Impact of Data Centers and the Quest for New Energy Solutions,"12/13/24, 11:59 PM"
"Tuesday - December 17, 2024",BCSAI2024CSAI.2.M.A_C2_464904: CALCULUS FOR COMPUTER SCIENCE,Final Exam,"12/17/24, 10:00 AM"
"Thursday - March 20, 2025",OACT2024OACT.M.A_C1_461581: CAREER DEVELOPMENT 2 - SINGLE,STEP 1: Introduction to T&C,"3/20/25, 11:59 PM"
"Thursday - March 20, 2025",OACT2024OACT.M.A_C1_461581: CAREER DEVELOPMENT 2 - SINGLE,STEP 3: Internship Search,"3/20/25, 11:59 PM"
"Thursday - March 20, 2025",OACT2024OACT.M.A_C1_461581: CAREER DEVELOPMENT 2 - SINGLE,STEP 4: Recruitment Process Step-by-step,"3/20/25, 11:59 PM"
